distribution,votes,rank,title,year
0000001222,677520.0,8.4,WALL·E,2008
0000001223,128737.0,8.4,Hotaru no haka,1988
0000001222,786754.0,8.4,American Beauty,1999
0000001222,466961.0,8.4,Aliens,1986
0000001222,209021.0,8.4,Mononoke-hime,1997
0000001223,285758.0,8.4,Citizen Kane,1941
0000001222,337411.0,8.4,Oldeuboi,2003
0000001222,211427.0,8.4,North by Northwest,1959
0000001222,235814.0,8.4,Vertigo,1958
0000001222,210479.0,8.4,Once Upon a Time in America,1984
0000001222,161287.0,8.4,Das Boot,1981
0000001222,640693.0,8.3,Star Wars: Episode VI - Return of the Jedi,1983
0000001222,510281.0,8.3,Le fabuleux destin d'Amélie Poulain,2001
0000001221,630426.0,8.3,Reservoir Dogs,1992
0000001222,703412.0,8.3,Braveheart,1995
0000001222,547533.0,8.3,Requiem for a Dream,2000
0000001222,530358.0,8.3,A Clockwork Orange,1971
0000001222,480581.0,8.3,Taxi Driver,1976
0000001222,513756.0,8.3,Toy Story 3,2010
0000001222,433061.0,8.3,Star Wars: Episode VII - The Force Awakens,2015
0000001222,203562.0,8.3,To Kill a Mockingbird,1962
0000001222,183467.0,8.3,Lawrence of Arabia,1962
0000001222,634691.0,8.3,Eternal Sunshine of the Spotless Mind,2004
0000001321,460110.0,8.3,Full Metal Jacket,1987
0000001222,258213.0,8.3,Amadeus,1984
0000001222,167368.0,8.3,The Sting,1973
0000001222,142771.0,8.3,Singin' in the Rain,1952
0000001123,405200.0,8.3,2001: A Space Odyssey,1968
0000001222,575535.0,8.3,Snatch.,2000
0000001222,366282.0,8.3,Monty Python and the Holy Grail,1975
0000001322,586857.0,8.3,Toy Story,1995
0000001222,833933.0,8.3,Inglourious Basterds,2009
0000001321,398556.0,8.3,L.A. Confidential,1997
0000001321,148161.0,8.3,Per qualche dollaro in più,1965
0000001222,103868.0,8.3,The Apartment,1960
0000001321,490519.0,8.3,Indiana Jones and the Last Crusade,1989
0000001223,144318.0,8.3,Jodaeiye Nader az Simin,2011
0000001222,106473.0,8.3,Metropolis,1927
0000001222,512451.0,8.3,Scarface,1983
0000001222,270219.0,8.3,Inside Out,2015/I
0000001322,922979.0,8.2,Batman Begins,2005
0000001222,167507.0,8.2,Some Like It Hot,1959
0000001222,108819.0,8.2,The Third Man,1949
0000001221,265189.0,8.2,Unforgiven,1992
0000000124,191120.0,8.2,3 Idiots,2009
0000001331,156502.0,8.2,Jagten,2012
0000001222,623998.0,8.2,Up,2009
0000001321,573062.0,8.2,Good Will Hunting,1997
0000001222,225245.0,8.2,Raging Bull,1980
0000001321,238441.0,8.2,Der Untergang,2004
0000001321,567245.0,8.2,Die Hard,1988
0000001222,206693.0,8.2,Chinatown,1974
0000001322,158133.0,8.2,The Great Escape,1963
0000001222,414118.0,8.2,Heat,1995
0000001222,446611.0,8.2,El laberinto del fauno,2006
0000001222,159591.0,8.2,Tonari no Totoro,1988
0000001321,142078.0,8.2,The Bridge on the River Kwai,1957
0000001222,106525.0,8.2,Det sjunde inseglet,1957
0000001222,442283.0,8.2,Blade Runner,1982
0000001221,122570.0,8.2,El secreto de sus ojos,2009
0000001321,398717.0,8.2,"Lock, Stock and Two Smoking Barrels",1998
0000001321,317947.0,8.2,Casino,1995
0000001321,155391.0,8.2,The Elephant Man,1980
0000001222,200880.0,8.2,Hauru no ugoku shiro,2004
0000001222,230115.0,8.2,The Revenant,2015
0000001222,315522.0,8.2,Warrior,2011
0000001222,716968.0,8.2,The Wolf of Wall Street,2013
0000001222,754530.0,8.2,V for Vendetta,2005
0000001321,577004.0,8.1,A Beautiful Mind,2001
0000001321,538615.0,8.1,Gran Torino,2008
0000001222,511212.0,8.1,The Big Lebowski,1998
0000001221,223034.0,8.1,The Deer Hunter,1978
0000001213,205875.0,8.1,Gone with the Wind,1939
0000001321,115128.0,8.1,Cool Hand Luke,1967
0000001321,431794.0,8.1,Fargo,1996
0000001322,457100.0,8.1,How to Train Your Dragon,2010
0000001321,448963.0,8.1,Trainspotting,1996
